Date,Tonnes_dosed,Litres,Application
16-Dec-03,Applied at rate approx 0.5 g/m3,,
27-Sep-07,112 Modified zeolite product Z2G1,,Tonnes Aqual P
19-Aug-09,44 Modified zeolite product Z2G1,,Tonnes Aqual P
19-Dec-11,5,,Tonnes Aqual P
19-Jul-12,8,,
30-Aug-12,14.6,,
15-Aug-13,5.2,,Surface
13-Sep-13,5.2,,Surface
5-Jun-14,4.6,,Injected
15-Sep-15,5.2,,Surface
5-Apr-16,9.8,,Injected
12-Sep-16,5.2,,Surface
20-Sep-17,5.2,,Surface
17-Apr-19,15,11500,Injected
9-Sep-19,7.8,,Surface
26-Aug-20,7.8,,Surface
6-May-21,6.5,11000,Surface
7-Apr-22,7.8,6000,Injected
29-Sep-22,6.5,,Surface
8-Mar-23,7.8,11000,Injected
16-Aug-23,6.5,5000,Surface
11-Apr-24,7.8,,Injected
